Lat,Lon,Elev
42.62,23.22,1184.000
42.62,23.233571428571,1333.000
42.62,23.247142857143,1505.000
42.62,23.260714285714,1586.000
42.62,23.274285714286,1533.000
42.62,23.287857142857,1315.000
42.62,23.301428571429,978.000
42.62,23.315,822.000
42.62,23.328571428571,771.000
42.62,23.342142857143,733.000
42.62,23.355714285714,686.000
42.62,23.369285714286,672.000
42.62,23.382857142857,640.000
42.62,23.396428571429,593.000
42.629199400098,23.22,1158.000
42.629199400098,23.233571428571,1273.000
42.629199400098,23.247142857143,1425.000
42.629199400098,23.260714285714,1352.000
42.629199400098,23.274285714286,1282.000
42.629199400098,23.287857142857,977.000
42.629199400098,23.301428571429,811.000
42.629199400098,23.315,752.000
42.629199400098,23.328571428571,695.000
42.629199400098,23.342142857143,670.000
42.629199400098,23.355714285714,638.000
42.629199400098,23.369285714286,633.000
42.629199400098,23.382857142857,617.000
42.629199400098,23.396428571429,592.000
42.638398800196,23.22,1061.000
42.638398800196,23.233571428571,1160.000
42.638398800196,23.247142857143,1196.000
42.638398800196,23.260714285714,943.000
42.638398800196,23.274285714286,918.000
42.638398800196,23.287857142857,794.000
42.638398800196,23.301428571429,737.000
42.638398800196,23.315,682.000
42.638398800196,23.328571428571,654.000
42.638398800196,23.342142857143,631.000
42.638398800196,23.355714285714,616.000
42.638398800196,23.369285714286,635.000
42.638398800196,23.382857142857,610.000
42.638398800196,23.396428571429,589.000
42.647598200294,23.22,795.000
42.647598200294,23.233571428571,831.000
42.647598200294,23.247142857143,840.000
42.647598200294,23.260714285714,767.000
42.647598200294,23.274285714286,719.000
42.647598200294,23.287857142857,680.000
42.647598200294,23.301428571429,638.000
42.647598200294,23.315,634.000
42.647598200294,23.328571428571,621.000
42.647598200294,23.342142857143,623.000
42.647598200294,23.355714285714,603.000
42.647598200294,23.369285714286,605.000
42.647598200294,23.382857142857,607.000
42.647598200294,23.396428571429,590.000
42.656797600393,23.22,788.000
42.656797600393,23.233571428571,669.000
42.656797600393,23.247142857143,690.000
42.656797600393,23.260714285714,678.000
42.656797600393,23.274285714286,647.000
42.656797600393,23.287857142857,622.000
42.656797600393,23.301428571429,602.000
42.656797600393,23.315,603.000
42.656797600393,23.328571428571,601.000
42.656797600393,23.342142857143,599.000
42.656797600393,23.355714285714,598.000
42.656797600393,23.369285714286,585.000
42.656797600393,23.382857142857,588.000
42.656797600393,23.396428571429,549.000
42.665997000491,23.22,790.000
42.665997000491,23.233571428571,691.000
42.665997000491,23.247142857143,631.000
42.665997000491,23.260714285714,614.000
42.665997000491,23.274285714286,612.000
42.665997000491,23.287857142857,597.000
42.665997000491,23.301428571429,591.000
42.665997000491,23.315,619.000
42.665997000491,23.328571428571,590.000
42.665997000491,23.342142857143,583.000
42.665997000491,23.355714285714,563.000
42.665997000491,23.369285714286,561.000
42.665997000491,23.382857142857,569.000
42.665997000491,23.396428571429,550.000
42.675196400589,23.22,768.000
42.675196400589,23.233571428571,699.000
42.675196400589,23.247142857143,654.000
42.675196400589,23.260714285714,608.000
42.675196400589,23.274285714286,592.000
42.675196400589,23.287857142857,590.000
42.675196400589,23.301428571429,578.000
42.675196400589,23.315,570.000
42.675196400589,23.328571428571,601.000
42.675196400589,23.342142857143,615.000
42.675196400589,23.355714285714,572.000
42.675196400589,23.369285714286,559.000
42.675196400589,23.382857142857,541.000
42.675196400589,23.396428571429,546.000
42.684395800687,23.22,682.000
42.684395800687,23.233571428571,662.000
42.684395800687,23.247142857143,631.000
42.684395800687,23.260714285714,592.000
42.684395800687,23.274285714286,580.000
42.684395800687,23.287857142857,593.000
42.684395800687,23.301428571429,579.000
42.684395800687,23.315,563.000
42.684395800687,23.328571428571,556.000
42.684395800687,23.342142857143,564.000
42.684395800687,23.355714285714,567.000
42.684395800687,23.369285714286,564.000
42.684395800687,23.382857142857,537.000
42.684395800687,23.396428571429,538.000
42.693595200785,23.22,658.000
42.693595200785,23.233571428571,619.000
42.693595200785,23.247142857143,617.000
42.693595200785,23.260714285714,614.000
42.693595200785,23.274285714286,584.000
42.693595200785,23.287857142857,562.000
42.693595200785,23.301428571429,555.000
42.693595200785,23.315,561.000
42.693595200785,23.328571428571,557.000
42.693595200785,23.342142857143,548.000
42.693595200785,23.355714285714,549.000
42.693595200785,23.369285714286,533.000
42.693595200785,23.382857142857,534.000
42.693595200785,23.396428571429,531.000
42.702794600883,23.22,621.000
42.702794600883,23.233571428571,617.000
42.702794600883,23.247142857143,636.000
42.702794600883,23.260714285714,622.000
42.702794600883,23.274285714286,580.000
42.702794600883,23.287857142857,561.000
42.702794600883,23.301428571429,550.000
42.702794600883,23.315,542.000
42.702794600883,23.328571428571,542.000
42.702794600883,23.342142857143,533.000
42.702794600883,23.355714285714,530.000
42.702794600883,23.369285714286,530.000
42.702794600883,23.382857142857,528.000
42.702794600883,23.396428571429,528.000
42.711994000981,23.22,624.000
42.711994000981,23.233571428571,623.000
42.711994000981,23.247142857143,596.000
42.711994000981,23.260714285714,579.000
42.711994000981,23.274285714286,561.000
42.711994000981,23.287857142857,561.000
42.711994000981,23.301428571429,558.000
42.711994000981,23.315,549.000
42.711994000981,23.328571428571,538.000
42.711994000981,23.342142857143,529.000
42.711994000981,23.355714285714,526.000
42.711994000981,23.369285714286,526.000
42.711994000981,23.382857142857,525.000
42.711994000981,23.396428571429,524.000
42.721193401079,23.22,594.000
42.721193401079,23.233571428571,587.000
42.721193401079,23.247142857143,585.000
42.721193401079,23.260714285714,569.000
42.721193401079,23.274285714286,554.000
42.721193401079,23.287857142857,545.000
